type_id;description_category_id;путь;тип товара;статус;ошибки
97582;79164512;Мебель / Компьютерные и офисные кресла / Ортопедический стул;Ортопедический стул;другая ошибка;"SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;marking_auto_corrected:23536"
970685072;79164512;Мебель / Компьютерные и офисные кресла / Детское компьютерное кресло;Детское компьютерное кресло;другая ошибка;"SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;marking_auto_corrected:23536"
95041;79164512;Мебель / Компьютерные и офисные кресла / Офисное кресло;Офисное кресло;другая ошибка;"SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;marking_auto_corrected:23536"
95026;79164512;Мебель / Компьютерные и офисные кресла / Игровое компьютерное кресло;Игровое компьютерное кресло;другая ошибка;"SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;marking_auto_corrected:23536"
97388;17027918;Мебель / Столы / Столик для ноутбука;Столик для ноутбука;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95005;17027918;Мебель / Столы / Компьютерный стол;Компьютерный стол;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
970941908;17027918;Мебель / Столы / Кронштейн откидного стола;Кронштейн откидного стола;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
95001;17027918;Мебель / Столы / Офисный стол;Офисный стол;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
970713712;17027918;Мебель / Столы / Приставной столик;Приставной столик;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
95010;17027918;Мебель / Столы / Парта;Парта;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
504866270;17027918;Мебель / Столы / Письменный стол;Письменный стол;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
97452;17027918;Мебель / Столы / Стойка ресепшн;Стойка ресепшн;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
971430403;80771432;Мебель / Мебель для кухни / Наполнение для кухонного модуля;Наполнение для кухонного модуля;не создано;
970782258;80771432;Мебель / Мебель для кухни / Кухонный модуль навесной;Кухонный модуль навесной;не создано;
970782257;80771432;Мебель / Мебель для кухни / Кухонный модуль напольный;Кухонный модуль напольный;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95089;80771432;Мебель / Мебель для кухни / Кухонный гарнитур;Кухонный гарнитур;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
98427;17027914;Мебель / Матрасы / Топпер-наматрасник;Топпер-наматрасник;другая ошибка;"error_attribute_values_empty:9048;error_attribute_values_empty:12035;error_attribute_values_empty:22232;error_attribute_values_out_of_range:85"
970859602;17027914;Мебель / Матрасы / Медицинский матрас;Медицинский матрас;другая ошибка;BR_no_shelf_life:22364
504866279;17027914;Мебель / Матрасы / Матрас для садовой мебели;Матрас для садовой мебели;не создано;
115946522;17027914;Мебель / Матрасы / Матрас;Матрас;другая ошибка;BR_no_shelf_life:22364
971162059;80711064;Мебель / Комоды и тумбы / Тумба;Тумба;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
970693320;80711064;Мебель / Комоды и тумбы / Этажерка для обуви;Этажерка для обуви;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
95086;80711064;Мебель / Комоды и тумбы / Комод;Комод;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95062;80443823;Мебель / Садовая мебель / Садовый диван;Садовый диван;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
970713678;80443823;Мебель / Садовая мебель / Шкаф для газового баллона;Шкаф для газового баллона;фото отклонено;DESCRIPTION_DECLINE:4194
95069;80443823;Мебель / Садовая мебель / Стенка для садовой постройки;Стенка для садовой постройки;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
95059;80443823;Мебель / Садовая мебель / Аксессуары для гамака;Аксессуары для гамака;фото отклонено;"DESCRIPTION_DECLINE:4194;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0;warning_all_image_failed:4194"
95028;80443823;Мебель / Садовая мебель / Набор садовой мебели;Набор садовой мебели;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95038;80375615;Мебель / Диваны и кресла / Кухонный уголок;Кухонный уголок;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
97632;80375615;Мебель / Диваны и кресла / Угловой диван;Угловой диван;другая ошибка;ML_INCORRECT_VOLUME_WEIGHT:0
95030;80375615;Мебель / Диваны и кресла / Кресло;Кресло;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
970797824;80375615;Мебель / Диваны и кресла / Запчасти для дивана;Запчасти для дивана;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
95025;80375615;Мебель / Диваны и кресла / Диван раскладной;Диван раскладной;другая ошибка;SPU_ALREADY_EXISTS_IN_ANOTHER_ACCOUNT:0
